keyword,count
t-shirt,23
printed,12
top,10
ribbed,5
v-neck,4
tank,4
oversized,4
lace-inset,2
sleeveless,2
thong,2
bodysuit,2
fitted,2
microfiber,2
crinkled,2
motif,1
