brand,key_phrase,count
Old Navy,items,1
Old Navy,jcrew gift card,1
Old Navy,jcrew nwt henleys,1
Old Navy,jeans,1
Old Navy,leads,1
Old Navy,liner,1
Old Navy,link,1
Old Navy,lint roller,1
Old Navy,lot,1
Old Navy,material,1
Old Navy,mine,1
Old Navy,more photos,1
Old Navy,multiple pairs,1
Old Navy,n&f dirty fade selvedge,1
Old Navy,nh500 imper waterproof rain jacket,1
Old Navy,nice,1
Old Navy,nordstrom rack,1
Old Navy,offers,1
Old Navy,old navy fanboy,1
Old Navy,old navy parka,1
Old Navy,old navy product,1
Old Navy,old pairs,1
Old Navy,on,1
Old Navy,one jacket,1
Old Navy,other measurements,1
Old Navy,other tops,1
Old Navy,outerwear,1
Old Navy,packaging,1
Old Navy,pajama pants,1
Old Navy,pajama/lounging pants,1
Old Navy,physical goods,1
Old Navy,pictures,1
Old Navy,pm,1
Old Navy,pockets,1
Old Navy,poshmark,1
Old Navy,praises,1
Old Navy,prices,1
Old Navy,product page,1
Old Navy,promo code,1
Old Navy,quechua men,1
Old Navy,questions,1
Old Navy,rawdenim/pebble,1
Old Navy,real steal,1
Old Navy,reason,1
Old Navy,recs,1
Old Navy,restrictions,1
Old Navy,result,1
Old Navy,retail price,1
Old Navy,rothy,1
Old Navy,rs01,1
Old Navy,sale,1
Old Navy,sandals/flip-flops,1
Old Navy,sell/trade,1
Old Navy,several others,1
Old Navy,several retailers,1
Old Navy,several successful transactions,1
Old Navy,shipping,1
Old Navy,shoulder/upper arm,1
Old Navy,size,1
Old Navy,skywalker,1
Old Navy,slimmer thigh,1
Old Navy,snow,1
Old Navy,someone,1
Old Navy,sorel boots,1
Old Navy,sperry boat shoes,1
Old Navy,st. louis cardinals tees,1
Old Navy,stain,1
Old Navy,standard,1
Old Navy,star wars,1
Old Navy,stock,1
Old Navy,straps,1
Old Navy,suitable baggies knockoff,1
Old Navy,super guy,1
Old Navy,tall” size,1
Old Navy,target,1
Old Navy,things,1
Old Navy,thread,1
Old Navy,time,1
Old Navy,tjmaxx,1
Old Navy,tom,1
Old Navy,travel 500 3-in-1 waterproof jacket,1
Old Navy,two majestic,1
Old Navy,two nike,1
Old Navy,two trips,1
Old Navy,unbranded ub201,1
Old Navy,uniqlo crew,1
Old Navy,uniqlo stretch selvedge,1
Old Navy,waist,1
Old Navy,walmart,1
Old Navy,warehouse/distribution centers,1
Old Navy,winter boots,1
Old Navy,zeroxposur grid dobby,1
Old Navy,~2 hours,1
Old Navy,~5 hours,1
