brand,mixed,negative,neutral,positive,Total,Positive %,Neutral %,Negative %,Mixed %
Banana Republic,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,0.0
Gap,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.16666666666666666,0.8333333333333334
Old Navy,2.0,2.0,5.0,5.0,14.0,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285
