theme_cluster,top_keywords
0,"50, gift, athleta, card, republic, banana, 38, 23, digital, gap, old, navy"
1,"new, dress, worn, pants, jeans, pajama, shirts, pair, shoes, shipping, casual, sold"
2,"baggies, shorts, explore, knockoff, 15, price, bought, ve, old, navy, pair, 13"
3,"need, just, don, fit, gap, great, people, ll, really, things, amazon, ended"
4,"cotton, 100, shirts, shrink, old, navy, crew, value, 15, price, uniqlo, come"
